indicator,indicator_family,required
Final energy consumption|Transportation|Road|Passenger|Liquids|Bio|PC0,fuel_eff_emi_road,True
Final energy consumption|Transportation|Rail|Passenger|Liquids|Bio|Gasoline,fuel_eff_emi_rail,False
Final energy consumption|Transportation|Navigation|Passenger|Liquids|Bio|Gasoline,fuel_eff_emi_nav,False
Final energy consumption|Transportation|Aviation|Passenger|Liquids|Bio|Diesel,fuel_eff_emi_fly,False
Socio-economic|Demographic|Population,Other_inputs,True
Hourly power consumption|Winter peak|Electricity|Heating|Residential,winter_peak_hourly_consumption,False
Hourly power consumption|Summer peak|Electricity|Heating|Residential,summer_peak_hourly_consumption,False
Hourly power consumption|Percentile 25|Electricity|Heating|Residential,percentile25_hourly_consumption,False
Hourly power consumption|Percentile 50|Electricity|Heating|Residential,percentile50_hourly_consumption,False
Final energy consumption|Cooling|Space cooling|Direct|Services,elec_eff_cooling,False
Final energy consumption|Transportation|Road|Passenger|Liquids|Bio|Diesel|PC0,fuel_eff_emi_road,False
Final energy consumption|Transportation|Rail|Passenger|Liquids|Bio|Methanol,fuel_eff_emi_rail,False
Final energy consumption|Transportation|Navigation|Passenger|Liquids|Bio|Methanol,fuel_eff_emi_nav,False
Final energy consumption|Transportation|Aviation|Passenger|Liquids|Bio|Gasoline,fuel_eff_emi_fly,False
Installed capacity|Electricity|Liquids|Fossil|Steam turbines,installed_capacity_supply,False
Generation|Yearly|Electricity|Liquids|Fossil|Steam turbines,yearly_generation_supply,False
Fuel consumption|Electricity|Liquids|Fossil|Boilers,fuel_consumption_supply,False
Emissions|Kyoto gases|Fossil CO2|Electricity|Liquids|Fossil|Boilers,emission_supply,False
Efficiency|Electricity|Liquids|Fossil|Steam turbines,efficiency_supply,False
Investments|Electricity|Liquids|Fossil|Steam turbine based plants,investment_supply,False
Generation|Winter peak|Electricity|Liquids|Fossil|Steam turbines,winter_peak_hourly_generation,False
Hourly power consumption|Winter peak|Electricity|Heating|Services,winter_peak_hourly_consumption,False
Hourly power consumption|Summer peak|Electricity|Heating|Services,summer_peak_hourly_consumption,False
Generation|Summer peak|Electricity|Liquids|Fossil|Steam turbines,summer_peak_hourly_generation,False
Hourly power consumption|Percentile 25|Electricity|Heating|Services,percentile25_hourly_consumption,False
Generation|Percentile 25|Electricity|Liquids|Fossil|Steam turbines,Percentile25_hourly_generation,False
Hourly power consumption|Percentile 50|Electricity|Heating|Services,percentile50_hourly_consumption,False
Generation|Percentile 50|Electricity|Liquids|Fossil|Steam turbines,Percentile50_hourly_generation,False
Final energy consumption|Heating|Space heating|Residential|Liquids|Fossil,fuel_eff_emi_heating,False
Final energy consumption|Heavy industries|Steel and metallic|Heating|Low enthalpy heat|Liquids|Fossil,fuel_eff_emi_heavy_ind,False
Final energy consumption|Light Industries|Liquids|Fossil,fuel_eff_emi_light_ind,True
Final energy consumption|Agriculture|Liquids|Fossil,fuel_eff_emi_agr,True
Final energy consumption|Transportation|Road|Passenger|Liquids|Bio|Gasoline|PC0,fuel_eff_emi_road,False
Final energy consumption|Transportation|Rail|Passenger|Liquids|Bio|Others,fuel_eff_emi_rail,False
Final energy consumption|Transportation|Navigation|Passenger|Liquids|Bio|Others,fuel_eff_emi_nav,False
Final energy consumption|Transportation|Aviation|Passenger|Liquids|Bio|Methanol,fuel_eff_emi_fly,False
Socio-economic|Demographic|Households|Number,Other_inputs,False
Installed capacity|Electricity|Liquids|Fossil|Diesel|Steam turbines,installed_capacity_supply,False
Generation|Yearly|Electricity|Liquids|Fossil|Diesel|Steam turbines,yearly_generation_supply,False
